"","Corr"
"1319",0.137855
"1320",0.289773
"1321",0.299315
"1322",0.10831
"1323",0.0519731
"1324",0.115908
"1325",0.188847
"1326",0.213478
"1327",0.097658
"1328",0.0591231
"1329",0.299323
"1330",0.225946
"1331",0.0359328
"1332",0.183542
"1333",0.223059
"1334",0.260808
"1335",0.228855
"1336",0.21953
"1337",0.23998
"1338",0.0653608
"1339",0.2751
"1340",0.216698
"1341",0.223862
"1342",0.323739
"1343",0.117414
"1344",0.283919
"1345",0.273662
"1346",0.218731
"1347",0.159867
"1348",0.211977
"1349",0.194878
"1350",NA
"1351",0.129269
"1352",0.302918
"1353",0.297093
"1354",0.326931
"1355",0.259458
"1356",0.262343
"1357",0.160824
"1358",0.34694
"1359",0.132594
"1360",0.156187
"1361",NA
"1362",0.312945
"1363",0.222983
"1364",0.153459
"1365",0.0528439
"1366",NA
"1367",0.323271
"1368",0.163143
"1369",NA
"1370",0.219519
"1371",0.114405
"1372",0.251709
"1373",0.283035
"1374",0.220658
"1375",0.246986
"1376",0.218496
"1377",0.269339
"1378",0.170913
"1379",0.117892
"1380",0.21661
"1381",0.186378
"1382",0.231139
"1383",0.301474
"1384",NA
"1385",0.249068
"1386",0.186932
"1387",0.0728406
"1388",0.3124
"1389",NA
"1390",0.12815
"1391",0.0873081
"1392",0.151056
"1393",0.0732656
"1394",0.130435
"1395",0.144649
"1396",0.0813347
"1397",0.129893
"1398",0.341202
"1399",NA
"1400",0.340496
"1401",0.353993
"1402",0.200679
"1403",NA
"1404",0.0922859
"1405",0.184704
"1406",0.043336
"1407",0.182443
"1408",0.136886
"1409",0.0856784
"1410",0.159922
"1411",0.224294
"1412",0.215084
"1413",0.157458
"1414",0.0228283
"1415",0.035769
"1416",0.118382
"1417",0.118907
"1418",0.0701174
"1419",0.091065
"1420",0.185864
"1421",0.161207
"1422",0.202975
"1423",0.179322
"1424",0.20272
"1425",0.106374
"1426",0.313819
"1427",0.209
"1428",0.122445
"1429",0.182427
"1430",0.194985
"1431",0.162116
"1432",0.102498
"1433",0.140974
"1434",0.191149
"1435",NA
"1436",0.171208
"1437",0.173521
"1438",0.192529
"1439",0.174924
"1440",0.126741
"1441",0.181982
"1442",0.144168
"1443",0.193593
"1444",0.253328
"1445",0.19297
"1446",NA
"1447",0.129667
"1448",0.11263
"1449",0.0763878
"1450",0.265495
"1451",0.219274
"1452",0.171326
"1453",0.190958
"1454",0.116685
"1455",0.205911
"1456",0.185342
"1457",0.0988406
"1458",0.240685
"1459",0.175548
"1460",0.252803
"1461",0.0841375
"1462",0.126294
"1463",0.128921
"1464",0.10257
"1465",0.117532
"1466",0.184869
"1467",0.20196
"1468",0.181798
"1469",0.102869
"1470",0.18361
"1471",0.0343788
"1472",0.273613
"1473",0.0550583
"1474",0.0963503
"1475",0.199807
"1476",0.0165815
"1477",0.0711616
"1478",0.0719222
"1479",0.022268
"1480",0.102797
"1481",NA
"1482",0.0742987
"1483",0.153127
